amplitude [Vpp],frequency [Hz],reflection/transmission
0.2711111111111111,1565333.3333333333,0.9585886457209014
0.2711111111111111,1566000.0,0.9664443939721424
0.2711111111111111,1566666.6666666667,0.9659652870355211
0.2711111111111111,1567333.3333333333,0.9761378306232029
0.2711111111111111,1568000.0,0.9663266787081854
0.2711111111111111,1568666.6666666667,0.9591583980491943
0.2711111111111111,1569333.3333333333,0.9732331698839044
0.2711111111111111,1570000.0,0.9761428303559936
0.2711111111111111,1570666.6666666667,0.9655349402551109
0.2711111111111111,1571333.3333333333,0.9764929389707508
0.2711111111111111,1572000.0,0.9704616935226422
0.2711111111111111,1572666.6666666667,0.9760528430012061
0.2711111111111111,1573333.3333333333,0.97583794035322
0.2711111111111111,1574000.0,0.9732780457633468
0.2711111111111111,1574666.6666666667,0.970377188409212
0.2711111111111111,1575333.3333333333,0.975967870176847
0.2711111111111111,1576000.0,0.966138523277816
0.2711111111111111,1576666.6666666667,0.9705014657278644
0.2711111111111111,1577333.3333333333,0.963307241191226
0.2711111111111111,1578000.0,0.9642603208485828
0.2711111111111111,1578666.6666666667,0.9706406941219312
0.2711111111111111,1579333.3333333333,0.9635194407945703
0.2711111111111111,1580000.0,0.9703622772698228
0.2711111111111111,1580666.6666666667,0.9704070120628309
0.2711111111111111,1581333.3333333333,0.9760178523992947
0.2711111111111111,1582000.0,0.9641813264186159
0.2711111111111111,1582666.6666666667,0.9647444443132724
0.2711111111111111,1583333.3333333333,0.9645270226383349
0.2711111111111111,1584000.0,0.970118793512641
0.2711111111111111,1584666.6666666667,0.9591440252202876
0.2711111111111111,1585333.3333333333,0.9659643122032664
0.2711111111111111,1586000.0,0.9645590495197908
0.2711111111111111,1586666.6666666667,0.9573673165808767
0.2711111111111111,1587333.3333333333,0.9602010859743669
0.2711111111111111,1588000.0,0.9531428982121575
0.2711111111111111,1588666.6666666667,0.9461137724250793
0.2711111111111111,1589333.3333333333,0.9517047443226155
0.2711111111111111,1590000.0,0.9533480285283431
0.2711111111111111,1590666.6666666667,0.9473213449116178
0.2711111111111111,1591333.3333333333,0.9459226171646413
0.2711111111111111,1592000.0,0.9467541493610415
0.2711111111111111,1592666.6666666667,0.9531237353091656
0.2711111111111111,1593333.3333333333,0.9460534474875866
0.2711111111111111,1594000.0,0.9465644563024085
0.2711111111111111,1594666.6666666667,0.9408639373670119
0.2711111111111111,1595333.3333333333,0.9458542506173044
0.2711111111111111,1596000.0,0.9354583156194562
0.2711111111111111,1596666.6666666667,0.9294433059592205
0.2711111111111111,1597333.3333333333,0.9300672372568743
0.2711111111111111,1598000.0,0.9240459692690273
0.2711111111111111,1598666.6666666667,0.9297242095437014
0.2711111111111111,1599333.3333333333,0.9306616445742651
0.2711111111111111,1600000.0,0.9129085963104289
0.2711111111111111,1600666.6666666667,0.9001752438054885
0.2711111111111111,1601333.3333333333,0.906944423409466
0.2711111111111111,1602000.0,0.9016488628516589
0.2711111111111111,1602666.6666666667,0.8706600441949167
0.2711111111111111,1603333.3333333333,0.871670243726409
0.2711111111111111,1604000.0,0.8423741887916094
0.2711111111111111,1604666.6666666667,0.8307876219669275
0.2711111111111111,1605333.3333333333,0.8141904542496664
0.2711111111111111,1606000.0,0.784388937374785
0.2711111111111111,1606666.6666666667,0.7539635638444042
0.2711111111111111,1607333.3333333333,0.7016326594530197
0.2711111111111111,1608000.0,0.6420936667349868
0.2711111111111111,1608666.6666666667,0.5850067963088188
0.2711111111111111,1609333.3333333333,0.4977352161869914
0.2711111111111111,1610000.0,0.4139064708412708
0.2711111111111111,1610666.6666666667,0.307063073130327
0.2711111111111111,1611333.3333333333,0.21461854317044302
0.2711111111111111,1612000.0,0.16842605403513294
0.2711111111111111,1612666.6666666667,0.2114468618577365
0.2711111111111111,1613333.3333333333,0.29774557495903115
0.2711111111111111,1614000.0,0.3967253229095753
0.2711111111111111,1614666.6666666667,0.48662131983855433
0.2711111111111111,1615333.3333333333,0.5550093533690791
0.2711111111111111,1616000.0,0.6190510109592666
0.2711111111111111,1616666.6666666667,0.6696763106014472
0.2711111111111111,1617333.3333333333,0.7054296370678526
0.2711111111111111,1618000.0,0.7522922404638375
0.2711111111111111,1618666.6666666667,0.7656329993134741
0.2711111111111111,1619333.3333333333,0.7959607644524462
0.2711111111111111,1620000.0,0.819395302195758
0.2711111111111111,1620666.6666666667,0.8425820032848154
0.2711111111111111,1621333.3333333333,0.8603868099344439
0.2711111111111111,1622000.0,0.8707804292024613
0.2711111111111111,1622666.6666666667,0.8834623377047768
0.2711111111111111,1623333.3333333333,0.8955187771338138
0.2711111111111111,1624000.0,0.9070187646396889
0.2711111111111111,1624666.6666666667,0.8998478905873457
0.2711111111111111,1625333.3333333333,0.905677170781555
0.2711111111111111,1626000.0,0.9120576899247652
0.2711111111111111,1626666.6666666667,0.9119268385153533
0.2711111111111111,1627333.3333333333,0.9230733737472521
0.2711111111111111,1628000.0,0.9238187879123946
0.2711111111111111,1628666.6666666667,0.9294956649399162
0.2711111111111111,1629333.3333333333,0.9405116574471623
0.2711111111111111,1630000.0,0.9472731765771295
0.2711111111111111,1630666.6666666667,0.9471373014045215
0.2711111111111111,1631333.3333333333,0.9459565326625574
0.2711111111111111,1632000.0,0.9517339882536718
0.2711111111111111,1632666.6666666667,0.9399908167984441
0.2711111111111111,1633333.3333333333,0.9590628384661
0.2711111111111111,1634000.0,0.9461791138348119
0.2711111111111111,1634666.6666666667,0.9644404938500319
0.2711111111111111,1635333.3333333333,0.9457576316254285
0.2711111111111111,1636000.0,0.9523120270592317
0.2711111111111111,1636666.6666666667,0.9648087012954226
0.2711111111111111,1637333.3333333333,0.9577302380873057
0.2711111111111111,1638000.0,0.9587359305598359
0.2711111111111111,1638666.6666666667,0.9651004367486873
0.2711111111111111,1639333.3333333333,0.9649669088017331
0.2711111111111111,1640000.0,0.9705611301484797
0.2711111111111111,1640666.6666666667,0.9703473665886856
0.2711111111111111,1641333.3333333333,0.9702131910763079
0.2711111111111111,1642000.0,0.9699995807375236
0.2711111111111111,1642666.6666666667,0.9593445833641334
0.2711111111111111,1643333.3333333333,0.9633664502822923
0.2711111111111111,1644000.0,0.9655497734159769
0.2711111111111111,1644666.6666666667,0.9759828643060556
0.2711111111111111,1645333.3333333333,0.9734226739752752
0.2711111111111111,1646000.0,0.9763328581610835
0.2711111111111111,1646666.6666666667,0.976112832727477
0.2711111111111111,1647333.3333333333,0.9700840200931037
0.2711111111111111,1648000.0,0.9731407655463383
0.2711111111111111,1648666.6666666667,0.9658712705179882
0.2711111111111111,1649333.3333333333,0.9633319107613286
0.2711111111111111,1650000.0,0.9657762969596261
0.38166666666666665,1550000.0,0.9689887911350743
0.38166666666666665,1550666.6666666667,0.9628258171199544
0.38166666666666665,1551333.3333333333,0.9692575429860835
0.38166666666666665,1552000.0,0.975512471467522
0.38166666666666665,1552666.6666666667,0.9693505639850166
0.38166666666666665,1553333.3333333333,0.9756060842273678
0.38166666666666665,1554000.0,0.9693584236504267
0.38166666666666665,1554666.6666666667,0.9691993521534781
0.38166666666666665,1555333.3333333333,0.9694514595816427
0.38166666666666665,1556000.0,0.9692884848249925
0.38166666666666665,1556666.6666666667,0.9565395185577837
0.38166666666666665,1557333.3333333333,0.9757155218212377
0.38166666666666665,1558000.0,0.9755943706290141
0.38166666666666665,1558666.6666666667,0.9693893674982462
0.38166666666666665,1559333.3333333333,0.97560227177668
