amplitude [Vpp],frequency [Hz],reflection/transmission
0.2711111111111111,1558666.6666666667,0.9862090397390073
0.2711111111111111,1559333.3333333333,0.9789575026821029
0.2711111111111111,1560000.0,0.9789575026821029
0.2711111111111111,1560666.6666666667,0.9789575026821029
0.2711111111111111,1561333.3333333333,0.9717059656251984
0.2711111111111111,1562000.0,0.9789575026821029
0.2711111111111111,1562666.6666666667,0.9771712398667344
0.2711111111111111,1563333.3333333333,0.9789575026821029
0.2711111111111111,1564000.0,0.978967510528254
0.2711111111111111,1564666.6666666667,0.9789575026821029
0.2711111111111111,1565333.3333333333,0.9789575026821029
0.2711111111111111,1566000.0,0.9717059656251984
0.2711111111111111,1566666.6666666667,0.9717059656251984
0.2711111111111111,1567333.3333333333,0.9717158993391558
0.2711111111111111,1568000.0,0.9789575026821029
0.2711111111111111,1568666.6666666667,0.9717059656251984
0.2711111111111111,1569333.3333333333,0.9807973563423255
0.2711111111111111,1570000.0,0.9717158993391558
0.2711111111111111,1570666.6666666667,0.9717158993391558
0.2711111111111111,1571333.3333333333,0.9748407195685862
0.2711111111111111,1572000.0,0.9717158993391558
0.2711111111111111,1572666.6666666667,0.9717158993391558
0.2711111111111111,1573333.3333333333,0.9632354729070555
0.2711111111111111,1574000.0,0.9644642881500578
0.2711111111111111,1574666.6666666667,0.9632354729070555
0.2711111111111111,1575333.3333333333,0.9717158993391558
0.2711111111111111,1576000.0,0.9644642881500578
0.2711111111111111,1576666.6666666667,0.9722749364473708
0.2711111111111111,1577333.3333333333,0.9516666992848318
0.2711111111111111,1578000.0,0.9632354729070555
0.2711111111111111,1578666.6666666667,0.9574328495762899
0.2711111111111111,1579333.3333333333,0.9574695450121784
0.2711111111111111,1580000.0,0.9516666992848318
0.2711111111111111,1580666.6666666667,0.9516666992848318
0.2711111111111111,1581333.3333333333,0.9399168948455588
0.2711111111111111,1582000.0,0.9453986369758335
0.2711111111111111,1582666.6666666667,0.9395986453379448
0.2711111111111111,1583333.3333333333,0.9337986537000563
0.2711111111111111,1584000.0,0.9225817485352961
0.2711111111111111,1584666.6666666667,0.9167793476011118
0.2711111111111111,1585333.3333333333,0.9169667537868208
0.2711111111111111,1586000.0,0.9111631667375371
0.2711111111111111,1586666.6666666667,0.8993663995535462
0.2711111111111111,1587333.3333333333,0.9023587389709794
0.2711111111111111,1588000.0,0.8800497388117422
0.2711111111111111,1588666.6666666667,0.8760729893718157
0.2711111111111111,1589333.3333333333,0.8622870422154089
0.2711111111111111,1590000.0,0.8589144259469793
0.2711111111111111,1590666.6666666667,0.8416598613312838
0.2711111111111111,1591333.3333333333,0.8242462090278779
0.2711111111111111,1592000.0,0.8142690411338563
0.2711111111111111,1592666.6666666667,0.7774336575202061
0.2711111111111111,1593333.3333333333,0.7334199642149075
0.2711111111111111,1594000.0,0.6822773498867556
0.2711111111111111,1594666.6666666667,0.6371472991834943
0.2711111111111111,1595333.3333333333,0.5768272325503194
0.2711111111111111,1596000.0,0.5042858045151843
0.2711111111111111,1596666.6666666667,0.41343479954951345
0.2711111111111111,1597333.3333333333,0.3088563285467658
0.2711111111111111,1598000.0,0.25302589081691895
0.2711111111111111,1598666.6666666667,0.2785561658117742
0.2711111111111111,1599333.3333333333,0.3018800072590245
0.2711111111111111,1600000.0,0.33434212422539267
0.2711111111111111,1600666.6666666667,0.332030904821973
0.2711111111111111,1601333.3333333333,0.29462628976346816
0.2711111111111111,1602000.0,0.24150438530964238
0.2711111111111111,1602666.6666666667,0.2368664739577847
0.2711111111111111,1603333.3333333333,0.2901626727205982
0.2711111111111111,1604000.0,0.35414421787415273
0.2711111111111111,1604666.6666666667,0.44969181764429234
0.2711111111111111,1605333.3333333333,0.5354856556163886
0.2711111111111111,1606000.0,0.6028226312915563
0.2711111111111111,1606666.6666666667,0.6640406078365438
0.2711111111111111,1607333.3333333333,0.7039701144045556
0.2711111111111111,1608000.0,0.7406134482829032
0.2711111111111111,1608666.6666666667,0.7765987616860425
0.2711111111111111,1609333.3333333333,0.8068634698492507
0.2711111111111111,1610000.0,0.8358553105634818
0.2711111111111111,1610666.6666666667,0.8510344770850805
0.2711111111111111,1611333.3333333333,0.8622870422154089
0.2711111111111111,1612000.0,0.8737507086289595
0.2711111111111111,1612666.6666666667,0.891553656966144
0.2711111111111111,1613333.3333333333,0.8970535284984529
0.2711111111111111,1614000.0,0.9169667537868207
0.2711111111111111,1614666.6666666667,0.9085542147612536
0.2711111111111111,1615333.3333333333,0.9283841494694802
0.2711111111111111,1616000.0,0.9395986453379448
0.2711111111111111,1616666.6666666667,0.9309784742797986
0.2711111111111111,1617333.3333333333,0.9367252549852295
0.2711111111111111,1618000.0,0.9457188509865808
0.2711111111111111,1618666.6666666667,0.9515208071276028
0.2711111111111111,1619333.3333333333,0.9574328495762899
0.2711111111111111,1620000.0,0.9429358121354298
0.2711111111111111,1620666.6666666667,0.9632354729070555
0.2711111111111111,1621333.3333333333,0.9457221006723818
0.2711111111111111,1622000.0,0.9632354729070555
0.2711111111111111,1622666.6666666667,0.9601478384741712
0.2711111111111111,1623333.3333333333,0.9556159919284977
0.2711111111111111,1624000.0,0.9556159919284977
0.2711111111111111,1624666.6666666667,0.9748407195685862
0.2711111111111111,1625333.3333333333,0.9644642881500578
0.2711111111111111,1626000.0,0.9717158993391558
0.2711111111111111,1626666.6666666667,0.9806433428993516
0.2711111111111111,1627333.3333333333,0.9717059656251984
0.2711111111111111,1628000.0,0.9717059656251984
0.2711111111111111,1628666.6666666667,0.9627912319956095
0.2711111111111111,1629333.3333333333,0.9789575026821029
0.2711111111111111,1630000.0,0.9717158993391558
0.2711111111111111,1630666.6666666667,0.9789575026821029
0.2711111111111111,1631333.3333333333,0.9699861572206554
0.2711111111111111,1632000.0,0.9789575026821029
0.2711111111111111,1632666.6666666667,0.978967510528254
0.2711111111111111,1633333.3333333333,0.9862090397390073
0.2711111111111111,1634000.0,0.995425946652456
0.2711111111111111,1634666.6666666667,0.9862090397390073
0.2711111111111111,1635333.3333333333,0.9862090397390073
0.2711111111111111,1636000.0,0.9789575026821029
0.2711111111111111,1636666.6666666667,0.9771612503836036
0.2711111111111111,1637333.3333333333,0.9789575026821029
0.2711111111111111,1638000.0,0.9789575026821029
0.2711111111111111,1638666.6666666667,0.9862090397390073
0.2711111111111111,1639333.3333333333,0.9771612503836036
0.2711111111111111,1640000.0,0.9862090397390073
0.2711111111111111,1640666.6666666667,0.9699762411896066
0.2711111111111111,1641333.3333333333,0.9862090397390073
0.2711111111111111,1642000.0,0.9868089174505403
0.2711111111111111,1642666.6666666667,0.9777556246298933
0.2711111111111111,1643333.3333333333,0.9868089174505403
0.2711111111111111,1644000.0,0.9777556246298933
0.2711111111111111,1644666.6666666667,0.9862090397390073
0.2711111111111111,1645333.3333333333,0.9868089174505403
0.2711111111111111,1646000.0,0.9940648653729708
0.2711111111111111,1646666.6666666667,0.9868089174505403
0.2711111111111111,1647333.3333333333,0.9940648653729708
0.2711111111111111,1648000.0,0.9862090397390073
0.2711111111111111,1648666.6666666667,0.9777556246298933
0.2711111111111111,1649333.3333333333,0.9789575026821029
0.2711111111111111,1650000.0,0.9771612503836036
0.38166666666666665,1550000.0,0.9830610619778537
0.38166666666666665,1550666.6666666667,0.9829299813437843
0.38166666666666665,1551333.3333333333,0.9896587872260274
0.38166666666666665,1552000.0,0.9829299813437843
0.38166666666666665,1552666.6666666667,0.9895714001366476
0.38166666666666665,1553333.3333333333,0.9830610619778537
0.38166666666666665,1554000.0,0.9830610619778537
0.38166666666666665,1554666.6666666667,0.9766816131215293
0.38166666666666665,1555333.3333333333,0.9831497032746521
0.38166666666666665,1556000.0,0.9895714001366476
0.38166666666666665,1556666.6666666667,0.9897926066751565
0.38166666666666665,1557333.3333333333,0.9829299813437843
0.38166666666666665,1558000.0,0.9764633367296802
0.38166666666666665,1558666.6666666667,0.9766816131215293
0.38166666666666665,1559333.3333333333,0.9895714001366476
0.38166666666666665,1560000.0,0.9768541412284224
0.38166666666666665,1560666.6666666667,0.9897926066751565
0.38166666666666665,1561333.3333333333,0.9831497032746521
0.38166666666666665,1562000.0,0.9702980731664868
0.38166666666666665,1562666.6666666667,0.9766816131215293
0.38166666666666665,1563333.3333333333,0.9829299813437843
0.38166666666666665,1564000.0,0.9831497032746521
0.38166666666666665,1564666.6666666667,0.9766816131215292
0.38166666666666665,1565333.3333333333,0.9700824130328701
0.38166666666666665,1566000.0,0.9831497032746521
0.38166666666666665,1566666.6666666667,0.9758326024291788
0.38166666666666665,1567333.3333333333,0.976007294982424
0.38166666666666665,1568000.0,0.975789734383545
0.38166666666666665,1568666.6666666667,0.975789734383545
0.38166666666666665,1569333.3333333333,0.9693700650783901
0.38166666666666665,1570000.0,0.9694126510974077
0.38166666666666665,1570666.6666666667,0.9694126510974078
0.38166666666666665,1571333.3333333333,0.9691942854058511
0.38166666666666665,1572000.0,0.9691942854058511
0.38166666666666665,1572666.6666666667,0.9758326024291788
0.38166666666666665,1573333.3333333333,0.9694126510974078
0.38166666666666665,1574000.0,0.9691942854058511
0.38166666666666665,1574666.6666666667,0.9691942854058511
0.38166666666666665,1575333.3333333333,0.9628180072123915
0.38166666666666665,1576000.0,0.9625559683825233
0.38166666666666665,1576666.6666666667,0.963320938980399
0.38166666666666665,1577333.3333333333,0.956838187454754
0.38166666666666665,1578000.0,0.9502393034033418
0.38166666666666665,1578666.6666666667,0.9565322789225693
0.38166666666666665,1579333.3333333333,0.9502393034033417
0.38166666666666665,1580000.0,0.9502393034033418
0.38166666666666665,1580666.6666666667,0.9498896936522736
0.38166666666666665,1581333.3333333333,0.9430905672152228
0.38166666666666665,1582000.0,0.9430905672152229
0.38166666666666665,1582666.6666666667,0.9297668055966404
0.38166666666666665,1583333.3333333333,0.929286441364732
0.38166666666666665,1584000.0,0.9289740223001499
0.38166666666666665,1584666.6666666667,0.9228218764571026
0.38166666666666665,1585333.3333333333,0.9162560400996765
0.38166666666666665,1586000.0,0.9095983436444636
0.38166666666666665,1586666.6666666667,0.8969172228378042
0.38166666666666665,1587333.3333333333,0.8900566918636397
0.38166666666666665,1588000.0,0.8834038999158121
0.38166666666666665,1588666.6666666667,0.870300222659333
0.38166666666666665,1589333.3333333333,0.8663585628616279
0.38166666666666665,1590000.0,0.8559830112105904
0.38166666666666665,1590666.6666666667,0.8300719342912213
0.38166666666666665,1591333.3333333333,0.8141852881533294
0.38166666666666665,1592000.0,0.7886547556595629
0.38166666666666665,1592666.6666666667,0.7575275174677344
0.38166666666666665,1593333.3333333333,0.7161069642838396
0.38166666666666665,1594000.0,0.6678824807920934
0.38166666666666665,1594666.6666666667,0.610172070267328
0.38166666666666665,1595333.3333333333,0.5442593881019938
0.38166666666666665,1596000.0,0.4653345854729055
0.38166666666666665,1596666.6666666667,0.37351795065609583
0.38166666666666665,1597333.3333333333,0.27210293396338514
0.38166666666666665,1598000.0,0.23426692842978367
